,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
527,Harindanga,IN,75.22,clear sky,22.0383,88.3214,Hasanur Builders
529,Esmeralda,CU,82.78,scattered clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
530,Kupang,ID,80.53,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
533,Nortelandia,BR,88.25,broken clouds,-14.4547,-56.8028,Pousada e Restaurante Santana
534,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
535,Gazanjyk,TM,66.83,few clouds,39.2446,55.5154,Railway motel
536,Banamba,ML,81.84,scattered clouds,13.55,-7.45,Kassela de Banamba
537,Gladstone,AU,73.78,broken clouds,-23.85,151.25,Highpoint International Hotel
538,Mahenge,TZ,60.48,few clouds,-8.6833,36.7167,Mahenge ulanga
544,Hartford,US,61.0,clear sky,41.7668,-72.7662,West Hartford Inn
545,Tual,ID,83.35,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
547,Longhua,CN,74.37,overcast clouds,23.6137,114.1919,Huadu Hotel
548,New Amsterdam,GY,78.12,overcast clouds,6.25,-57.5167,Little Rock Suites
550,Almeirim,BR,82.89,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
551,Tateyama,JP,69.73,mist,34.9833,139.8667,Tateyama Seaside Hotel
552,Port Shepstone,ZA,67.69,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
553,Maumere,ID,81.52,moderate rain,-8.6199,122.2111,Sylvia Hotel
554,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
556,Hinton,CA,71.49,clear sky,53.4001,-117.5857,Econo Lodge & Suites
557,Mweka,CD,66.34,overcast clouds,-4.85,21.5667,Guest House Boshab
559,Nizwa,OM,74.32,overcast clouds,22.9333,57.5333,Orient Apartments
560,Formosa,AR,80.58,few clouds,-26.1775,-58.1781,Asterión Departamentos
563,Salisbury,GB,62.69,overcast clouds,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
564,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
565,Ganzhou,CN,62.91,clear sky,28.8184,115.4327,Zhanqian Grand Hotel
566,Magnolia,US,71.29,overcast clouds,33.2671,-93.2393,Budget Inn
568,Fortuna,US,70.92,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
569,Unguia,CO,80.62,overcast clouds,8.0434,-77.0945,Residencias El Golfo
570,Marrakesh,MA,69.87,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
571,Mwinilunga,ZM,66.67,broken clouds,-11.7358,24.4293,Kwakuwahi Lodge
572,Pacific Grove,US,69.48,overcast clouds,36.6177,-121.9166,Lovers Point Inn
573,Ubauro,PK,74.84,clear sky,28.1652,69.7289,Stamp Vendor
574,Rio De Janeiro,BR,76.96,clear sky,-22.9028,-43.2075,Hotel cruz de ouro
575,Jiaocheng,CN,70.52,overcast clouds,24.6774,116.1389,Changtan Tourism Resort
576,Tacoronte,ES,66.4,few clouds,28.4769,-16.4102,Casa Laurel
579,Araouane,ML,88.99,broken clouds,18.9048,-3.5265,
580,Santa Cruz,BO,87.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
582,Bac Lieu,VN,74.93,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
583,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
587,Hatillo,PR,81.16,broken clouds,18.4863,-66.8254,El Buen Hotel
589,Avera,US,77.38,scattered clouds,33.194,-82.5271,
590,Yulara,AU,73.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
592,Elko,US,72.05,clear sky,41.0002,-115.5012,
593,Lazaro Cardenas,MX,84.49,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
594,Berbera,SO,82.54,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
598,Bowen,AU,77.27,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
601,Vao,NC,71.01,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
603,Kangaba,ML,76.69,scattered clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
604,Saint-Georges,GD,79.84,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
607,Ohara,JP,71.73,overcast clouds,35.25,140.3833,Sakigake
609,Naberera,TZ,60.33,few clouds,-4.2,36.9333,
611,Kaura Namoda,NG,79.3,scattered clouds,12.5898,6.5779,Moonlight Hotel
612,Chitipa,MW,65.1,scattered clouds,-9.7024,33.2697,Tulipoka Lodges
614,Los Llanos De Aridane,ES,65.95,clear sky,28.6585,-17.9182,Valle Aridane
615,Half Moon Bay,US,72.88,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
616,Lorengau,PG,82.4,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
617,Iralaya,HN,81.09,light rain,15.0,-83.2333,Iglesia morava renovada
618,Nchelenge,ZM,75.85,broken clouds,-9.3451,28.734,KD Travellers Home
619,Curuca,BR,79.02,overcast clouds,-0.7289,-47.8481,Hotel Curuça
622,Sorong,ID,78.46,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
623,Uribia,CO,85.89,overcast clouds,11.7139,-72.266,Hotel Uribia
624,Hobe Sound,US,82.99,scattered clouds,27.0595,-80.1364,Floridays RV Park
626,Kahului,US,87.82,clear sky,20.8947,-156.47,Maui Seaside Hotel
629,Loandjili,CG,76.64,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
630,Havelock,US,75.18,clear sky,34.8791,-76.9013,Sherwood Motel
631,Sarangani,PH,82.94,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
632,Port Hardy,CA,73.58,clear sky,50.6996,-127.4199,Airport Inn-Port Hardy
633,Angoche,MZ,73.49,clear sky,-16.2325,39.9086,Guest House HESADA
635,Parati,BR,69.96,overcast clouds,-23.2178,-44.7131,Che Lagarto Paraty
638,Cairns,AU,82.11,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
639,Eureka,US,71.19,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
642,Tiarei,PF,84.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
643,Inhambane,MZ,71.89,overcast clouds,-23.865,35.3833,Oceano
644,Canto Do Buriti,BR,84.24,clear sky,-8.11,-42.9444,Novo Hotel
646,Ridgecrest,US,85.68,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
647,Anakapalle,IN,78.75,few clouds,17.6833,83.0167,Satya Lodge
648,Alta Floresta,BR,76.91,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
649,Plettenberg Bay,ZA,65.59,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
650,Xai-Xai,MZ,70.72,overcast clouds,-25.0519,33.6442,Complexo da Familia
651,Waingapu,ID,81.12,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
652,Vanimo,PG,77.9,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
653,Panama City,PA,83.44,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
654,Larreynaga,NI,81.55,overcast clouds,12.6769,-86.5719,Finca El Carrizal
655,Tabatinga,BR,77.09,scattered clouds,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
656,Zhicheng,CN,63.03,clear sky,30.2956,111.5047,Wangjiang Building
659,Mata Grande,BR,73.11,clear sky,-9.1175,-37.7322,Hotel Casarão
662,Prainha,BR,86.05,broken clouds,-1.8,-53.48,Casa Rocha
664,Semme,FR,64.81,overcast clouds,46.1963,1.5007,Inter-Hotel Alexia
666,Amahai,ID,78.19,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
668,Mporokoso,ZM,72.37,overcast clouds,-9.3727,30.125,Kutemwa lodge
672,Porbandar,IN,79.61,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
673,Puerto Del Rosario,ES,71.35,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
677,Lingao,CN,76.89,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
678,San Jose Iturbide,MX,80.11,clear sky,21.0,-100.3833,Los Arcos
679,Natal,BR,77.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
681,Atambua,ID,76.08,scattered clouds,-9.1061,124.8925,Ros Muskanan
682,Soyo,AO,76.86,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
683,Gbarnga,LR,71.33,overcast clouds,6.9956,-9.4722,Passion Hotel 2
685,Senanga,ZM,71.33,few clouds,-16.1167,23.2667,Zango lodge
686,Phan Thiet,VN,76.24,overcast clouds,10.9333,108.1,Hotel Saigon-PT
687,Mogadishu,SO,77.68,broken clouds,2.0371,45.3438,Hotel Juba
689,Saint-Francois,FR,67.44,clear sky,46.4154,3.9054,Maison Vin d'Hus
690,Albina,SR,78.21,broken clouds,5.5,-54.05,Hudace
691,Bonthe,SL,76.77,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
692,Vaitape,PF,78.87,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
