,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
52,Rikitea,PF,68.68,broken clouds,-23.1203,-134.9692,People ThankYou
54,Mumford,GH,77.5,light rain,5.2618,-0.759,Peace Guest House
56,Hamilton,US,70.77,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
57,Pecanha,BR,67.08,clear sky,-18.5486,-42.5569,PEÇANHA GRANDE HOTEL
59,Bukama,CD,72.82,few clouds,-9.2,25.85,
60,Galle,LK,76.8,overcast clouds,6.0367,80.217,Amangalla
61,Cayhagan,PH,78.67,light rain,9.6697,122.4256,Melrose Beach Resort
62,Tecoanapa,MX,85.01,broken clouds,16.5167,-98.75,Hotel Manglares
63,Otsuki,JP,64.99,overcast clouds,35.6,138.9333,真木温泉
64,Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
65,Ahipara,NZ,63.46,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
66,Ixtapa,MX,87.22,overcast clouds,20.7,-105.2,hotel la terminal
67,Lompoc,US,78.01,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
68,Hwange,ZW,76.66,scattered clouds,-18.3693,26.5019,Hwange Colliery Guest House
70,Camopi,GF,80.91,overcast clouds,3.1655,-52.3158,La pousada
71,Hithadhoo,MV,80.73,overcast clouds,-0.6,73.0833,Scoop Guest House
72,Ribeira Grande,PT,66.78,broken clouds,38.5167,-28.7,Quinta da Meia Eira
74,Mabopane,ZA,70.66,broken clouds,-25.4977,28.1007,Wolf Residence
75,Changuinola,PA,80.71,light rain,9.4333,-82.5167,ApartHotel Villa Esmeralda
76,Castro,BR,60.82,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
77,Presidente Medici,BR,80.46,heavy intensity rain,-11.1753,-61.9014,Oliveira Palace Hotel
78,Melilla,ES,73.78,clear sky,35.2937,-2.9383,Hotel Anfora
82,Cape Town,ZA,66.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
84,Cardoso,BR,86.74,broken clouds,-20.0819,-49.9142,EmilioTur Pescaria
